Month,data_source,Country,Tx_Type,CC VS APM,First Payment Method,Fail Reason,Order Count,Success Order Count,Recovery Order Count,Fail Order Count
2026-01,Foodora,Finland,CIT,Credit Card,applepay,Payment Instrument Issues,2,0,0,2
2026-01,Foodora,Finland,CIT,Credit Card,applepay,unknown,1,0,0,1
2026-01,Foodora,Finland,CIT,Credit Card,credit_card,Drops,750,0,0,750
2026-01,Foodora,Finland,CIT,Credit Card,credit_card,Generic Rejection,23,0,0,23
2026-01,Foodora,Finland,CIT,Credit Card,credit_card,Insufficient Funds,9,0,0,9
2026-01,Foodora,Finland,CIT,Credit Card,credit_card,NOT MAPPED,2335,2307,27,1
2026-01,Foodora,Finland,CIT,Credit Card,credit_card,Payment Instrument Issues,56,0,0,56
2026-01,Foodora,Finland,CIT,Credit Card,credit_card,unknown,5,0,0,5
2026-01,Foodora,Finland,MIT,Alternative Payment Method,klarna,Drops,1,0,0,1
2026-01,Foodora,Finland,MIT,Alternative Payment Method,klarna,NOT MAPPED,966,941,24,1
2026-01,Foodora,Finland,MIT,Alternative Payment Method,klarna,Payment Instrument Issues,78,0,0,78
2026-01,Foodora,Finland,MIT,Alternative Payment Method,no_payment_method,NOT MAPPED,5,5,0,0
2026-01,Foodora,Finland,MIT,Alternative Payment Method,no_payment_method,Technical Issues,181,0,0,181
2026-01,Foodora,Finland,MIT,Alternative Payment Method,no_payment_method,unknown,2,0,0,2
2026-01,Foodora,Finland,MIT,Credit Card,applepay,Generic Rejection,64,0,0,64
2026-01,Foodora,Finland,MIT,Credit Card,applepay,Insufficient Funds,298,0,0,298
2026-01,Foodora,Finland,MIT,Credit Card,applepay,NOT MAPPED,2375,2236,138,1
2026-01,Foodora,Finland,MIT,Credit Card,applepay,Payment Instrument Issues,38,0,0,38
2026-01,Foodora,Finland,MIT,Credit Card,applepay,Third Party System Error,3,0,0,3
2026-01,Foodora,Finland,MIT,Credit Card,applepay,unknown,3,2,0,1
2026-01,Foodora,Finland,MIT,Credit Card,credit_card,Drops,73,0,0,73
2026-01,Foodora,Finland,MIT,Credit Card,credit_card,Fraud Risk,12,0,0,12
2026-01,Foodora,Finland,MIT,Credit Card,credit_card,Generic Rejection,1,0,0,1
2026-01,Foodora,Finland,MIT,Credit Card,credit_card,Insufficient Funds,502,0,0,502
2026-01,Foodora,Finland,MIT,Credit Card,credit_card,NOT MAPPED,8088,7664,418,6
2026-01,Foodora,Finland,MIT,Credit Card,credit_card,Payment Instrument Issues,124,0,0,124
2026-01,Foodora,Finland,MIT,Credit Card,credit_card,Third Party System Error,3,0,0,3
2026-01,Foodora,Finland,MIT,Credit Card,credit_card,unknown,26,24,2,0
2026-01,Foodora,Hungary,CIT,Alternative Payment Method,invoice,NOT MAPPED,39,39,0,0
2026-01,Foodora,Hungary,CIT,Alternative Payment Method,no_payment,unknown,3,0,0,0
2026-01,Foodora,Hungary,CIT,Alternative Payment Method,require_payment,NOT MAPPED,4,0,0,0
2026-01,Foodora,Hungary,CIT,Credit Card,applepay,Fraud Risk,3,0,0,3
2026-01,Foodora,Hungary,CIT,Credit Card,applepay,Generic Rejection,3,0,0,3
2026-01,Foodora,Hungary,CIT,Credit Card,applepay,Insufficient Funds,72,0,0,72
2026-01,Foodora,Hungary,CIT,Credit Card,applepay,NOT MAPPED,6559,6293,266,0
2026-01,Foodora,Hungary,CIT,Credit Card,applepay,Payment Instrument Issues,10,0,0,10
